id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
715061176716382463,Nid douillet chic Brotteaux Part Dieu,168526277,Brice,,6e Arrondissement,45.768943985085954,4.855923838913441,Entire home/apt,186,2,7,2022-11-09,2.33,105,72,7,Exempt - hotel-type listing
736309374739324270,Cosy appartement à 2 pas de la Gare Part Dieu,16004871,Léa,,3e Arrondissement,45.76318,4.86259,Entire home/apt,100,2,3,2022-12-12,2.05,1,61,3,6938313404925
724324898685109712,Appartement cosy au calme près des quais de Saône,408926186,Fatiha,,9e Arrondissement,45.77225,4.8017,Entire home/apt,75,1,4,2022-12-12,4,1,7,4,1234567890123
715069713275705977,Lyon 1er superbe appartement en résidence,479345141,Amelle,,1er Arrondissement,45.77061,4.82899,Entire home/apt,96,1,23,2022-12-04,8.73,1,112,23,6938113382908
724345782920481285,Appartement cosy et lumineux à la Croix Rousse,9209756,Julia,,4e Arrondissement,45.7763991,4.8240414,Entire home/apt,100,2,3,2022-11-13,1.48,1,311,3,6938413417170
715224634360178493,Superbe appartement en plein centre de Lyon,459866392,Yassine,,7e Arrondissement,45.75301,4.84689,Entire home/apt,198,2,4,2022-11-28,1.76,1,112,4,6938713383732
715242124671622139,Grande chambre avec Jacuzzi privé,8062163,Antoine,,1er Arrondissement,45.77331453357329,4.827379191401686,Private room,49,1,4,2022-12-11,4,1,62,4,
715244570946485440,Chambre privée au coeur de la Croix Rousse,40633176,Thibault,,4e Arrondissement,45.7747283,4.821412,Private room,80,1,4,2022-11-17,1.56,1,358,4,
736685670909756167,Lyon superbe appartement,7297685,Sophie,,6e Arrondissement,45.77045,4.8482,Entire home/apt,100,8,0,,,1,266,0,6938613497090
736785629078236161,Le Gambetta - 4 couchages à 100m du métro,272463530,Elisabeth,,7e Arrondissement,45.7522158,4.851363,Entire home/apt,126,3,4,2022-11-29,2.86,1,166,4,6938713377594
724396546687235729,"Appart’ Lyon 9 
Lit double + canapé convertible",119467589,Romane,,9e Arrondissement,45.78881,4.79314,Entire home/apt,120,2,0,,,1,348,0,6938913393673
737309321770965181,"Lyon 5 Fourviere/st just, calme et lumineux",214267087,Maxime,,5e Arrondissement,45.75706857084054,4.812710634689139,Entire home/apt,66,2,0,,,1,363,0,6938513473858
715674894559803757,Appartement cosy de caractère - Place Sathonay,226216922,David,,1er Arrondissement,45.76788,4.83019,Entire home/apt,80,2,5,2022-11-27,3.06,153,348,5,0693822000246
715823222290473010,Très beau et Grand studio avec balcon et parking,369826491,WeHost,,8e Arrondissement,45.73955,4.86535,Entire home/apt,64,3,8,2022-11-25,2.89,73,348,8,6938813384396
715888332110598519,Appartement 70m2 Part Dieu,228909386,Romain,,3e Arrondissement,45.75477,4.8562,Entire home/apt,120,1,3,2022-11-27,2.73,1,0,3,6938313403440
740236815019112453,Duplex Croix Rousse-appartement rénové-Hénon,226216922,David,,4e Arrondissement,45.78001,4.83154,Entire home/apt,96,2,2,2022-11-27,1.43,153,20,2,1111111111111
724454928855110593,"Beau studio tout équipé, croix rousse",101641090,Aymeric,,4e Arrondissement,45.77873,4.82976,Entire home/apt,84,2,1,2022-12-10,1,2,340,1,6938413391535
737354435832374605,Hamac Suites - La Suite Vieux-Lyon - 4 people,319512702,Sébastien,,5e Arrondissement,45.7649,4.82856,Entire home/apt,145,2,5,2022-11-21,3.19,50,354,5,6938513403978
724622349474182803,Nid Douillet chic et unique + Parking,168526277,Brice,,2e Arrondissement,45.7514299,4.829607999999999,Entire home/apt,200,2,12,2022-11-28,5.45,105,77,12,Exempt - hotel-type listing
737366526449547246,Grand appartement avec magnifique vue sur Lyon,169447477,Gauthier,,3e Arrondissement,45.75691,4.84154,Entire home/apt,600,1,1,2022-12-10,1,1,0,1,6938713404815
740272718834244102,Joli appartement d’architecte,12557995,Charlotte,,7e Arrondissement,45.75446,4.84079,Entire home/apt,120,2,0,,,1,70,0,6938713408179
740284384505417789,Le Petit Arloing-Studio Quais de Saône Vaise,226216922,David,,9e Arrondissement,45.77197,4.81063,Entire home/apt,64,2,2,2022-11-18,1.82,153,363,2,6938912886404
740301753433381495,Beautiful renovated apartment in the heart of Lyon,484078913,Albin,,1er Arrondissement,45.76776,4.83063,Entire home/apt,92,4,2,2022-11-27,1.50,1,153,2,6938113302536
740315459423513428,Loft d'architectes pour la fête des lumières 2022.,26659302,Georges,,4e Arrondissement,45.77593,4.82988,Entire home/apt,250,2,0,,,1,363,0,6938413408064
740345897766644052,Grand deux pièces lumineux thème Cinéma,226216922,David,,3e Arrondissement,45.74684,4.87869,Entire home/apt,68,9,0,,,153,361,0,1111111111111
740370314973795849,Hamac Suites - Suite Lafayette 2 - Haut standing,319512702,Sébastien,,3e Arrondissement,45.76284,4.86215,Entire home/apt,139,2,5,2022-12-11,4.55,50,350,5,6938313407794
724623272955711615,Loft lumineux Canut au cœur de la Croix-Rousse,204770123,Dimitri,,1er Arrondissement,45.77272933397043,4.833049289882183,Entire home/apt,130,2,5,2022-10-26,2.50,1,345,5,6938113398546
740441073105918103,Chambre (A) tout confort à La Part Dieu,459699846,Anaël,,3e Arrondissement,45.7591613,4.8640515,Private room,52,1,17,2022-12-12,9.44,4,233,17,
725144469203427026,Appartement 50m2 avec jardin,76795226,Lorena,,8e Arrondissement,45.73484944849329,4.886260972316898,Entire home/apt,160,1,0,,,1,317,0,6938813452494
740441190071945950,Chambre (D) tout confort à La Part Dieu,459699846,Anaël,,3e Arrondissement,45.7591613,4.8640515,Private room,49,1,15,2022-12-08,8.18,4,315,15,
740487214390772442,Studio cosy au cœur de Lyon avec cour intérieure,4156965,Emilie,,1er Arrondissement,45.7692453,4.832159499999999,Entire home/apt,49,28,1,2022-11-01,0.67,18,223,1,6938112364210
737470949312650044,Le Jean Jaures- 2 chambres- Gerland-Tony Garnier,226216922,David,,7e Arrondissement,45.73975,4.83282,Entire home/apt,102,2,1,2022-11-01,0.67,153,352,1,6938013244363
725167598030557754,Petite maison avec jardin privé.,169715827,Themis,,3e Arrondissement,45.753957623673045,4.881512624430887,Entire home/apt,100,1,1,2022-12-11,1,1,16,1,6938313488067
737480004591730972,Superbe appartement au cœur du centre de Lyon,483534217,Clémentine,,2e Arrondissement,45.756433,4.827542,Entire home/apt,95,1,4,2022-12-02,2.26,1,0,4,6938213054564
740721300550597117,Lyon ancien appartement cosy quartier vivant,66903137,Clarisse,,7e Arrondissement,45.7482626,4.8395877,Entire home/apt,166,2,0,,,1,362,0,6938713411248
740956222802318457,Chambre à Lyon,451472539,Luciana,,9e Arrondissement,45.78013,4.8072,Private room,55,1,1,2022-10-23,0.56,1,356,1,
725864848302323365,Le petit Malot- charmant studio- Debourg,226216922,David,,7e Arrondissement,45.7344822,4.837588999999999,Entire home/apt,65,2,3,2022-11-18,1.50,153,363,3,6938713390660
741000859402570874,54 m² au calme en plein cœur du centre de Lyon,483951923,Delphine,,5e Arrondissement,45.76582,4.826258,Entire home/apt,90,1,3,2022-12-11,3,1,85,3,6938513405661
737533842256137944,Lyon - Bel appartement rénové,7501173,Justine,,3e Arrondissement,45.76352,4.84725,Entire home/apt,145,2,2,2022-11-16,1.82,1,0,2,6938613413057
725895597758888670,Le cocon arty d'Anna,27879907,Anne-Claire,,1er Arrondissement,45.76941,4.82731,Entire home/apt,260,2,5,2022-11-27,2.78,1,294,5,6938113092502
737603968996381688,Grand appartement familial à Confluence,369826491,WeHost,,2e Arrondissement,45.743621,4.824929,Entire home/apt,149,3,0,,,73,1,0,6938213397826
737695337653221376,"appartement, Lyon",459673667,Priscille,,3e Arrondissement,45.763,4.86679,Entire home/apt,150,30,0,,,1,365,0,"Available with a mobility lease only (""bail mobilité"")"
741002845891256711,Canut lumineux au calme de La Croix Rousse,20614431,Elise,,4e Arrondissement,45.77403,4.82703,Entire home/apt,58,2,10,2022-11-27,6.12,1,56,10,6938413411034
741087627416404832,Coeur du 7ieme arr - Duplex 2 pers refait à neuf,369826491,WeHost,,7e Arrondissement,45.75051335642111,4.842012667554641,Entire home/apt,68,3,4,2022-11-19,2.61,73,110,4,6938713306132
725931834759365885,"Suite Petra -
Proche gare perrache centre ville",393754617,Lune,,2e Arrondissement,45.75114,4.8233,Entire home/apt,90,2,1,2022-11-12,0.88,6,350,1,1690234682548
725984339074622195,Suite medici green - Gare perrache centre ville,393754617,Lune,,2e Arrondissement,45.74879,4.82351,Entire home/apt,90,2,2,2022-11-23,0.98,6,355,2,1690246671185
737704056172041697,Quai Joffre in Beautiful Ainay's district,103831985,Philippe,,2e Arrondissement,45.75272,4.8249,Entire home/apt,45,30,0,,,8,334,0,"Available with a mobility lease only (""bail mobilité"")"
726118584993707121,Lyon : bel appartement au coeur de la presqu'ile,41562521,Paul,,2e Arrondissement,45.763201337485036,4.83263004325279,Entire home/apt,200,1,0,,,1,35,0,6938213434250
737746483829726260,Appart cosy - proche du centre - 6 pers - 65m2,443301520,Emilie,,7e Arrondissement,45.74685,4.85638,Entire home/apt,140,2,1,2022-10-30,0.64,1,86,1,6938713409268
741157146428525022,Cosy appartement avec vue dégagée,14755452,Clara,,3e Arrondissement,45.75507282353408,4.874086808898898,Entire home/apt,70,2,0,,,1,342,0,6938713460441
741158526202161251,GuestReady - Bright and Elegant 2 Br Flat in Part,484241875,Flavien,,3e Arrondissement,45.75763,4.84808,Entire home/apt,95,2,7,2022-12-02,4.04,1,0,7,6938312984162
741159947704377427,"Très beau T2- 3 pers, refait à neuf",369826491,WeHost,,3e Arrondissement,45.7518047,4.8719399,Entire home/apt,86,3,2,2022-11-14,1.33,73,0,2,6938313406905
726515196000095003,"Suite Athos -
Proche centre ville gare perrache",393754617,Lune,,2e Arrondissement,45.75057,4.82367,Entire home/apt,78,2,2,2022-11-20,1.18,6,305,2,6902642448964
741191189104811172,Appartement moderne et spacieux,291015206,La Nuitée,,3e Arrondissement,45.75204,4.85364,Entire home/apt,102,2,4,2022-12-11,3.08,86,112,4,6938313415021
741212599486327662,Studio moderne dominant le vieux Lyon,433147535,Louis,,5e Arrondissement,45.7661346293131,4.826983138918877,Entire home/apt,116,2,3,2022-11-27,2.73,1,8,3,6938513424962
738263057456538950,Appartement hyper-centre Lyon,17823106,Oceane,,1er Arrondissement,45.76966,4.8323,Entire home/apt,79,1,7,2022-12-10,6.18,1,66,7,6938113416659
726538418445788538,Lyon superbe appartement à grange blanche,56717846,Laura,,8e Arrondissement,45.73924,4.87541,Private room,65,1,0,,,1,356,0,
738346395483204221,Chambre privée dans un super appartement de 140 m2,93905130,Ivana,,7e Arrondissement,45.75093,4.85043,Private room,41,4,1,2022-11-25,1,1,0,1,
741308109104184494,Bel et grand appartement pour la Fête des Lumières,146017479,Paul,,7e Arrondissement,45.745344464638045,4.849557775495754,Entire home/apt,500,1,0,,,1,19,0,6938713442328
726696691610913388,GuestReady - Nice Studio Part dieu,481518880,Juliette,,3e Arrondissement,45.76228,4.85389,Entire home/apt,124,2,7,2022-11-25,3.00,1,300,7,0693832200404
741309259045041206,Chambre (B) tout confort à La Part Dieu,459699846,Anaël,,3e Arrondissement,45.75966,4.86481,Private room,49,1,13,2022-12-10,7.09,4,347,13,
741317023103594868,Chambre (C) tout confort à La Part Dieu,459699846,Anaël,,3e Arrondissement,45.7591613,4.8640515,Private room,52,1,4,2022-11-01,2.50,4,352,4,
738862927466302352,Appartement de charme proche gare Part Dieu,60947024,Jérôme,,6e Arrondissement,45.7656962,4.8646615,Entire home/apt,78,2,6,2022-12-10,3.33,1,325,6,6938613405535
726757468466614179,Bel appartement proche du pont Bellecour,369253522,Elodie,,7e Arrondissement,45.75573,4.84074,Entire home/apt,466,2,1,2022-11-13,0.91,1,70,1,6938713405805
738901019220199945,"Appartement au calme, proche du centre-ville",404895729,Marina,,5e Arrondissement,45.75307,4.77401,Private room,32,1,0,,,1,364,0,
738976532132286575,Appartement situé sur la place Bellecour,184641379,Victor,,2e Arrondissement,45.7587033,4.8317805,Entire home/apt,364,1,1,2022-12-11,1,1,346,1,6938213405744
727219823082884617,Lyon : Superbe appartement Canut - Centre Ville,41147522,Igor,,1er Arrondissement,45.77104809999999,4.8350827,Entire home/apt,125,5,0,,,1,101,0,6938113394388
739023593569687386,"Studio-Loft avec vue, Hôtel-Dieu",7576474,Mohom,,2e Arrondissement,45.75777777283183,4.835218006745916,Entire home/apt,193,1,4,2022-11-16,2.67,10,338,4,6938313043154
739068470749017371,"Studio-Loft bourgeois, Hôtel-Dieu",7576474,Mohom,,2e Arrondissement,45.7578152,4.835234100000001,Entire home/apt,203,1,5,2022-11-22,3.33,10,349,5,6938213043280
741420443457091873,Duplex 3 chambres,3384177,Davia,,1er Arrondissement,45.77047,4.81759,Entire home/apt,300,30,0,,,4,89,0,"Available with a mobility lease only (""bail mobilité"")"
727254554700497476,"Superbe T1 bis meublé, 36m2 au coeur du Vieux Lyon",14617946,Segolene,,5e Arrondissement,45.7672273,4.8263886,Entire home/apt,45,30,0,,,1,290,0,"Available with a mobility lease only (""bail mobilité"")"
741728506026064042,Appartement lumineux quartier calme proche métro,53186394,Mathilde,,9e Arrondissement,45.76768,4.80324,Entire home/apt,400,2,0,,,1,298,0,6938913181263
741732590305212742,Chambre privée dans résidence privée au calme,480853239,Marie,,5e Arrondissement,45.75327,4.7858,Private room,38,1,7,2022-12-04,4.29,2,353,7,
739102282718748391,Authentic & modern 2 bedrooms - Hôtel Dieu,7576474,Mohom,,2e Arrondissement,45.7578152,4.835234100000001,Entire home/apt,290,1,3,2022-11-29,2.81,10,324,3,6938213043379
739164284757853217,Cosy appartement proche centre ville - Lyon,58361028,Agathe,,3e Arrondissement,45.753113218062694,4.852872826159,Entire home/apt,180,2,0,,,1,45,0,6938313420167
727316617306747668,"superbe appartement ""Canut"" 115 M2",24315512,Paolo,,1er Arrondissement,45.772846,4.8361016,Entire home/apt,170,3,4,2022-12-11,2.67,1,114,4,6938113394685
739164628865575504,"Bel appartement, idéalement situé",36430599,Emma,,3e Arrondissement,45.75691596369076,4.8465110386230315,Entire home/apt,110,2,2,2022-11-19,1.82,1,156,2,6938313406014
739657458990469322,Appartement Cosy - Lyon Centre,338252311,Yoann,,7e Arrondissement,45.753544961559236,4.841037777154776,Entire home/apt,74,2,2,2022-12-09,2,1,19,2,6938713406793
741757382215251620,Anvers 2 - Duplex 2 pers. entre Saxe et Jean Macé,369826491,WeHost,,7e Arrondissement,45.7487968795837,4.842290407926185,Entire home/apt,73,3,2,2022-11-24,2,73,105,2,6938713306032
727351958807264420,Le petit Rochette - Appartement 2 pers- Jean Macé,226216922,David,,7e Arrondissement,45.7467219,4.8435583,Entire home/apt,89,2,2,2022-11-04,0.95,153,365,2,6938713242685
741886860462667204,Belle chambre privée sur la Presqu’île de Lyon,267320036,Fanny,,2e Arrondissement,45.7514754,4.8311658,Private room,110,1,0,,,1,14,0,
739706684128043487,Dify Sebastien Gryphe - Jean Macé,8067536,Nicolas,,7e Arrondissement,45.74992,4.84242,Entire home/apt,73,1,4,2022-12-04,2.45,95,344,4,6938012902586
727381094044608565,Appartement design vue imprenable sur Fourvière,13767996,Alicia,,1er Arrondissement,45.77187,4.8315,Entire home/apt,260,1,2,2022-12-11,2,1,3,2,6938113394982
739766736828114669,un T2 en centre ville,348705428,Cire,,1er Arrondissement,45.77026,4.83468,Private room,65,1,3,2022-12-09,1.91,1,322,3,
742029942336160072,Bel emplacement entre Bellecour et Gare Part Dieu,77654575,Amandine,,3e Arrondissement,45.7584836,4.845741299999999,Entire home/apt,133,2,2,2022-11-27,1.82,1,109,2,6938313410962
742053904792557633,Lyon: chambre dans logement typiquement lyonnais,13181858,Marion,,2e Arrondissement,45.76148,4.83459,Private room,25,1,4,2022-11-12,2.73,3,57,4,
727499460224864457,Hamac Suites - Suites Amazing Tête d'Or - 4people,319512702,Sébastien,,6e Arrondissement,45.77189,4.85299,Entire home/apt,200,2,3,2022-12-05,1.88,50,292,3,6938613397419
742380397304731647,Appartement récent Croix Rousse proche métro,484472696,Laurie,,4e Arrondissement,45.78143,4.82608,Entire home/apt,300,2,0,,,1,0,0,6938113292341
739816854894513143,Host Inn Spa et Cinéma Le Lumière,45742457,Oliver Et Pauline,,2e Arrondissement,45.76386,4.83392,Entire home/apt,182,1,14,2022-11-27,7.78,4,343,14,6938213382087
727941756287472028,Lyon : Grand appartement au cœur du 6e,32760961,Romain,,6e Arrondissement,45.76555,4.85457,Entire home/apt,320,2,0,,,2,45,0,6938613395142
739828577184576709,Appartement de Lucie,23561714,Lucie,,7e Arrondissement,45.74790182648026,4.841956476196305,Entire home/apt,90,3,0,,,1,25,0,6938713407090
